Comune,Cratere Centro Italia 2016,Ricavi delle vendite migl EUR Ultimo anno disp.,Dipendenti Ultimo anno disp.,Stato giuridico,ateco2,ComuneOP,costituzione,ubilancio
Fabriano,1.0,0,0,Cessata,41,Fabriano,2001,2008
Fabriano,1.0,0,0,Cessata,46,Fabriano,2001,2008
Fabriano,1.0,0,0,In liquidazione,22,Fabriano,2000,2012
Fabriano,1.0,0,0,Fallita,68,Fabriano,2000,2008
Fabriano,1.0,0,0,Cessata (In liquidazione),81,Fabriano,2000,2011
Fabriano,1.0,0,0,In liquidazione,28,Fabriano,2000,2009
Fabriano,1.0,0,0,Cessata,41,Fabriano,2000,2009
Fabriano,1.0,0,0,Cessata (In liquidazione),46,Fabriano,1999,2016
Fabriano,1.0,0,0,In liquidazione,49,Fabriano,1998,2015
Fabriano,1.0,0,0,Cessata,31,Fabriano,1999,2011
Fabriano,1.0,0,0,Cessata,47,Fabriano,1999,2007
Fabriano,1.0,0,0,Cessata (In liquidazione),62,Fabriano,1999,2011
Fabriano,1.0,0,0,In liquidazione,70,Fabriano,1999,2011
Fabriano,1.0,0,0,In liquidazione,68,Fabriano,1999,2007
Fabriano,1.0,0,0,Cessata (In liquidazione),30,Fabriano,1999,2010
Fabriano,1.0,0,0,Cessata,25,Fabriano,1999,2005
Fabriano,1.0,0,0,Cessata,62,Fabriano,1998,2008
Fabriano,1.0,0,0,Cessata (In liquidazione),70,Fabriano,1998,2016
Fabriano,1.0,0,0,Cessata,25,Fabriano,1998,2007
Fabriano,1.0,0,0,Cessata (In liquidazione),14,Fabriano,1997,2010
Fabriano,1.0,0,0,Cessata (In liquidazione),47,Fabriano,1998,2018
Fabriano,1.0,0,0,Fallita,41,Fabriano,1997,2008
Fabriano,1.0,0,1,Fallita,68,Fabriano,1997,2017
Fabriano,1.0,0,0,In liquidazione,41,Fabriano,1996,2014
Fabriano,1.0,0,0,Cessata,41,Fabriano,1996,2011
Fabriano,1.0,0,0,In liquidazione,63,Fabriano,1996,2009
Fabriano,1.0,0,0,Cessata,68,Fabriano,1996,2007
Fabriano,1.0,0,0,In liquidazione,02,Fabriano,1996,2018
Fabriano,1.0,0,3,Cessata (In liquidazione),85,Fabriano,1996,2014
Fabriano,1.0,0,0,Cessata (Chiusura per fallimento),18,Fabriano,1995,2008
Fabriano,1.0,0,0,Cessata,41,Fabriano,1995,2009
Fabriano,1.0,0,0,In liquidazione,62,Fabriano,1995,2008
Fabriano,1.0,0,0,In liquidazione,68,Fabriano,1994,2015
Fabriano,1.0,0,0,Cessata (In liquidazione),18,Fabriano,1994,2010
Fabriano,1.0,0,0,Cessata (In liquidazione),41,Fabriano,1994,2012
Fabriano,1.0,0,0,Attiva (Stato di insolvenza),25,Fabriano,1992,2019
Fabriano,1.0,0,0,Cessata,01,Fabriano,1992,2007
Fabriano,1.0,0,0,Cessata,47,Fabriano,1991,2007
Fabriano,1.0,0,0,In liquidazione,46,Fabriano,1990,2020
Fabriano,1.0,0,0,Cessata,73,Fabriano,1989,2008
