Comune,media_prima,Comune,media_dopo,var
Potenza Picena,68902.9744516195,Potenza Picena,78765.59219457014,14.31377646820706
Costacciaro,10215.515913284135,Costacciaro,10410.38665158371,1.9075956608923559
Appignano,16639.733599835996,Appignano,20306.81619532428,22.038108804364686
Montecassiano,34982.333000205006,Montecassiano,39677.49157239819,13.421513574196636
Castiglion Fiorentino,70198.05186551866,Castiglion Fiorentino,79592.05145173454,13.382137162741154
Montelupone,18253.477206334563,Montelupone,21232.092515082957,16.318070661707765
Cortona,147034.71659747846,Cortona,161209.08397435897,9.640150098486059
Sigillo,9889.083871463714,Sigillo,12049.460859728506,21.846078123564624
Umbertide,70680.86116236163,Umbertide,75994.96943815988,7.518454343094612
Civitanova Marche,136988.47565600657,Civitanova Marche,165755.31623303168,20.999460311728612
Montecosaro,18100.55319803198,Montecosaro,22407.769004524886,23.796045122870705
Fossato di Vico,17855.86412207872,Fossato di Vico,19691.741176470587,10.281647764791227
Morrovalle,31594.08078362034,Morrovalle,38006.68086349924,20.296840170148126
Marciano della Chiana,253.08238519885197,Marciano della Chiana,262.3814479638009,3.674322398077
Foiano della Chiana,2282.4618568060678,Foiano della Chiana,1549.7374245852188,-32.102373585606244
Porto Sant'Elpidio,71228.43288745388,Porto Sant'Elpidio,86035.08331447963,20.78755607388042
Sant'Elpidio a Mare,58121.74856498565,Sant'Elpidio a Mare,69037.6471719457,18.781091203329915
Perugia,582223.127101271,Perugia,649418.5992835596,11.541189117106434
Gualdo Tadino,82001.24465713406,Gualdo Tadino,90954.36496983409,10.918273680033854
Lisciano Niccone,6928.71731498565,Lisciano Niccone,6971.090761689291,0.611562642510966
Montegranaro,32164.81813755638,Montegranaro,40743.89096907994,26.672225519305638
Monte San Giusto,18757.547957667077,Monte San Giusto,25378.577149321267,35.29794622728324
Tuoro sul Trasimeno,25805.663578823292,Tuoro sul Trasimeno,27510.920833333334,6.60807364748184
Valfabbrica,19576.063063755635,Valfabbrica,21655.271889140273,10.621179644819478
