Comune,n_imprese,tot_ricavi,tot_dipendenti,failed,failed_ricavi,failed_dipendenti
Blera,27,14088.0,59,0.2222222222222222,0.01590005678591709,0.15254237288135594
Bolognano,11,32494.0,142,0.36363636363636365,0.001846494737489998,0.0
Bolognola,1,0.0,0,1.0,0.0,0.0
Bolsena,30,13429.0,181,0.5333333333333333,0.2154292948097401,0.2541436464088398
Bomarzo,15,7677.0,89,0.2,0.015370587469063435,0.0449438202247191
Borbona,6,2102.0,17,0.5,0.04709800190294957,0.058823529411764705
Borgo Pace,3,271.0,5,0.3333333333333333,0.0,0.0
Borgo Velino,6,4677.0,46,0.3333333333333333,0.027581783194355357,0.043478260869565216
Borgorose,12,2303.0,19,0.3333333333333333,0.1033434650455927,0.3157894736842105
Brittoli,5,1128.0,2,1.0,1.0,1.0
Bucchianico,20,14120.0,71,0.3,0.10686968838526913,0.04225352112676056
Bussi sul Tirino,10,37146.0,166,0.2,0.00021536639207451677,0.006024096385542169
Cagli,118,174414.0,622,0.3050847457627119,0.026127489765729817,0.04983922829581994
Cagnano Amiterno,8,3855.0,33,0.75,0.5507133592736706,0.9393939393939394
Calascio,1,176.0,3,1.0,1.0,1.0
Caldarola,13,75238.0,257,0.23076923076923078,0.0035354475132247003,0.007782101167315175
Calvi dell'Umbria,8,8162.0,60,0.25,0.011394266111247244,0.016666666666666666
Camerano,136,708659.0,1875,0.2647058823529412,0.05004522626538293,0.08
Camerata Picena,55,424846.0,475,0.21818181818181817,0.030133271820848025,0.14526315789473684
Camerino,85,126908.0,611,0.3764705882352941,0.06629999684811044,0.07364975450081833
Campello sul Clitunno,33,42912.0,345,0.42424242424242425,0.01833985831469053,0.03768115942028986
Campli,72,57683.0,515,0.3888888888888889,0.23802506804431114,0.3320388349514563
Campofilone,38,26524.0,204,0.18421052631578946,0.22930176443975267,0.09803921568627451
Camporotondo di Fiastrone,1,1216.0,29,0.0,0.0,0.0
Campotosto,4,357.0,10,0.25,0.1876750700280112,0.5
Canepina,20,20554.0,81,0.35,0.6006616716940741,0.6049382716049383
Cannara,41,41052.0,210,0.2682926829268293,0.4704521095196336,0.14761904761904762
Canosa Sannita,14,10207.0,52,0.2857142857142857,0.02517879886352503,0.28846153846153844
Cantalice,11,2789.0,35,0.36363636363636365,0.2373610613122983,0.2571428571428571
Cantalupo in Sabina,6,6030.0,27,0.6666666666666666,0.7625207296849088,0.8888888888888888
Cantiano,12,5590.0,45,0.08333333333333333,0.12361359570661896,0.2
Canzano,19,14899.0,173,0.2631578947368421,0.030941673937848177,0.1907514450867052
Capestrano,7,2317.0,20,0.5714285714285714,0.39274924471299094,0.4
Capitignano,6,6715.0,77,0.3333333333333333,0.018466120625465376,0.03896103896103896
Capodimonte,21,12027.0,57,0.38095238095238093,0.2257420803192816,0.14035087719298245
Cappelle sul Tavo,41,58299.0,442,0.24390243902439024,0.12051664694077086,0.10633484162895927
Capranica,54,23979.0,153,0.2962962962962963,0.3382543058509529,0.4117647058823529
Caprarola,40,123698.0,235,0.3,0.26379569596921537,0.1829787234042553
Caramanico Terme,13,3093.0,48,0.3076923076923077,0.09279017135467184,0.041666666666666664
Carapelle Calvisio,1,3.0,0,0.0,0.0,0.0
Carassai,10,879.0,6,0.9,0.2764505119453925,0.16666666666666666
Carbognano,12,44952.0,55,0.4166666666666667,0.0361496707599217,0.03636363636363636
Carpegna,10,9099.0,69,0.4,0.006594131223211342,0.014492753623188406
Carpineto della Nora,3,1288.0,20,0.0,0.0,0.0
Carsoli,92,60806.0,423,0.391304347826087,0.32710587770943655,0.2907801418439716
Cartoceto,160,207523.0,1273,0.2125,0.06444104990772107,0.08798114689709348
Casacanditella,12,11059.0,121,0.4166666666666667,0.041504656840582334,0.024793388429752067
Casalincontrada,16,4652.0,52,0.5,0.5700773860705073,0.5576923076923077
Casaprota,3,727.0,15,0.6666666666666666,0.8968363136176066,0.7333333333333333
Cascia,15,19129.0,198,0.2,0.1439698886507397,0.22727272727272727
Casoli,104,152040.0,887,0.3557692307692308,0.09723099184425152,0.18151071025930102
